id,Gender,Age,Annual_Income,Total_Spend,Years_as_Customer,Num_of_Purchases,Average_Transaction_Amount,Num_of_Returns,Satisfaction,Last_Purchase_Days_Ago,Target_Churn,Email_Opt_In,Promotion_Response
1,Male,34,45.15,5892.58,5,22,453.8,2,3,129,1,1,Responded
10,Female,52,169.59,9803.57,17,34,481.18,6,2,171,0,1,Unsubscribed
100,Male,41,117.21,3681.83,14,87,309.19,2,2,147,0,0,Ignored
1000,Male,47,134.86,3956.71,15,48,420.91,6,1,269,1,1,Ignored
101,Male,32,136.2,3878.23,9,43,110.51,5,3,353,1,1,Responded
102,Female,47,82.07,9478.35,8,23,125.7,8,1,82,1,0,Ignored
103,Female,59,38.2,2714.84,12,82,41.71,8,1,266,0,1,Ignored
104,Female,34,77.31,4777.05,9,68,338.17,5,4,95,1,0,Ignored
105,Female,22,50.27,8132.66,9,20,105.31,0,4,261,1,1,Unsubscribed
106,Female,46,120.1,8174.61,19,47,431.93,4,5,173,1,0,Unsubscribed
107,Female,21,77.25,7528.4,6,30,381.68,8,2,162,1,0,Ignored
108,Female,27,192.45,2949.55,7,69,55.55,2,4,144,0,1,Unsubscribed
109,Female,34,193.83,5000.22,6,85,283.26,9,5,255,0,0,Ignored
11,Male,23,138.9,4283.84,15,33,96.55,9,2,92,0,1,Responded
110,Male,27,131.62,1943.49,12,31,212.13,5,3,195,1,1,Responded
111,Female,34,131.15,1965.16,16,45,391.58,0,2,169,0,0,Responded
112,Male,37,197.37,4414.83,13,80,334.47,9,2,145,0,0,Responded
113,Female,41,179.71,7412.06,5,34,48.3,4,4,78,0,1,Responded
114,Female,22,157.71,5313.18,4,5,491.01,3,2,150,0,0,Responded
115,Male,51,76.45,8878.16,19,84,135.89,7,5,332,0,0,Ignored
116,Female,23,85.8,8326,18,38,135.22,2,2,82,1,1,Ignored
117,Male,19,56.23,412.89,13,53,159.35,2,1,112,1,1,Responded
118,Female,30,107.69,5727.35,13,65,488.27,0,5,58,0,0,Ignored
119,Female,60,198.27,6130.7,1,18,403.85,0,5,38,0,1,Responded
12,Male,35,47.43,3333.69,4,10,212.58,0,2,213,1,0,Responded
120,Male,60,184.19,9619.59,1,18,52.17,8,2,203,0,0,Unsubscribed
121,Female,28,41.3,330.04,7,40,214.81,6,2,362,0,1,Ignored
122,Male,64,24.53,5357.93,4,19,429.09,2,4,259,1,1,Responded
123,Female,40,181.75,2127.34,10,6,181.12,5,1,121,0,0,Responded
124,Male,33,116.69,631.26,9,99,152.79,1,4,216,0,1,Ignored
125,Male,48,56.03,5916.14,4,4,323.31,7,2,199,0,1,Responded
126,Female,28,141.26,7748.78,11,59,190.16,9,1,21,0,0,Ignored
127,Female,33,135.96,7771.17,13,1,89.19,4,3,21,1,1,Unsubscribed
128,Male,25,41.98,399.86,9,36,246.8,0,4,190,1,0,Ignored
129,Female,21,66.73,4128.77,7,26,407.73,3,2,359,0,1,Ignored
13,Male,22,199.29,8234.55,1,60,160.58,2,5,276,0,0,Ignored
130,Female,57,30.81,540.65,8,85,423.82,5,5,50,0,0,Unsubscribed
131,Female,21,57.77,2553.6,19,94,311.67,6,5,326,0,0,Unsubscribed
132,Male,42,43.82,2009.52,16,66,499.57,5,2,337,0,1,Unsubscribed
133,Male,20,54.78,2230.31,5,15,492.49,5,3,245,1,0,Responded
134,Male,49,143.38,3457.27,12,45,126.96,1,3,179,1,0,Unsubscribed
135,Male,20,28.91,2846.44,12,5,387.75,0,1,208,1,1,Ignored
136,Male,44,38.33,9626.57,13,71,100.11,7,5,296,0,0,Responded
137,Male,46,44.15,3588.83,1,18,211.59,3,3,274,1,0,Responded
