Transaction ID,id,Product Category,Quantity,Price per Unit,Total Amount,Satisfaction
1,1,Beauty,3,50,150,3.0
10,10,Clothing,4,50,200,2.0
100,100,Electronics,1,30,30,2.0
1000,1000,Electronics,4,30,120,1.0
101,101,Clothing,2,300,600,3.0
102,102,Beauty,2,25,50,1.0
103,103,Clothing,1,25,25,1.0
104,104,Beauty,2,500,1000,4.0
105,105,Electronics,1,500,500,4.0
106,106,Clothing,1,50,50,5.0
107,107,Clothing,4,300,1200,2.0
108,108,Beauty,3,25,75,4.0
109,109,Electronics,4,500,2000,5.0
11,11,Clothing,2,50,100,2.0
110,110,Clothing,3,300,900,3.0
111,111,Electronics,3,500,1500,2.0
112,112,Clothing,3,500,1500,2.0
113,113,Electronics,2,25,50,4.0
114,114,Beauty,4,25,100,2.0
115,115,Clothing,3,500,1500,5.0
116,116,Clothing,1,30,30,2.0
117,117,Electronics,2,500,1000,1.0
118,118,Electronics,4,500,2000,5.0
119,119,Clothing,3,50,150,5.0
12,12,Beauty,3,25,75,2.0
120,120,Beauty,1,50,50,2.0
121,121,Electronics,4,50,200,2.0
122,122,Electronics,4,30,120,4.0
123,123,Electronics,2,30,60,1.0
124,124,Clothing,4,500,2000,4.0
125,125,Clothing,2,50,100,2.0
126,126,Clothing,3,30,90,1.0
127,127,Clothing,2,25,50,3.0
128,128,Beauty,1,500,500,4.0
129,129,Beauty,2,300,600,2.0
13,13,Electronics,3,500,1500,5.0
130,130,Clothing,1,500,500,5.0
131,131,Beauty,2,300,600,5.0
132,132,Electronics,4,50,200,2.0
133,133,Electronics,3,300,900,3.0
134,134,Electronics,1,50,50,3.0
135,135,Clothing,2,25,50,1.0
136,136,Electronics,2,300,600,5.0
137,137,Beauty,2,500,1000,3.0
138,138,Clothing,4,50,200,4.0
139,139,Beauty,4,500,2000,3.0
14,14,Clothing,4,30,120,2.0
140,140,Electronics,1,30,30,4.0
141,141,Electronics,1,50,50,5.0
142,142,Electronics,4,300,1200,4.0
143,143,Clothing,1,50,50,2.0
144,144,Beauty,3,500,1500,4.0
145,145,Clothing,3,25,75,2.0
146,146,Clothing,4,50,200,3.0
147,147,Electronics,1,300,300,2.0
148,148,Clothing,2,30,60,5.0
149,149,Clothing,3,25,75,5.0
15,15,Electronics,4,500,2000,1.0
150,150,Electronics,4,30,120,4.0
151,151,Clothing,1,50,50,5.0
152,152,Electronics,4,500,2000,1.0
153,153,Electronics,2,500,1000,4.0
154,154,Electronics,3,300,900,1.0
155,155,Electronics,4,500,2000,5.0
156,156,Clothing,4,25,100,3.0
157,157,Electronics,4,500,2000,3.0
158,158,Electronics,2,300,600,5.0
159,159,Clothing,4,50,200,3.0
16,16,Clothing,3,500,1500,3.0
160,160,Clothing,2,50,100,3.0
161,161,Beauty,2,500,1000,5.0
162,162,Clothing,2,30,60,5.0
163,163,Clothing,3,50,150,1.0
164,164,Beauty,3,500,1500,2.0
165,165,Clothing,4,300,1200,1.0
166,166,Clothing,4,500,2000,4.0
167,167,Clothing,3,50,150,4.0
168,168,Clothing,1,300,300,3.0
169,169,Beauty,3,500,1500,4.0
17,17,Clothing,4,25,100,2.0
170,170,Clothing,2,25,50,3.0
171,171,Clothing,3,300,900,5.0
