transaction_id,customer_id,timestamp,satisfaction,total_spent,item_id,item_name,quantity,price_per_unit,item_total
1,1,00:09:26,8,57.97,1,Smartphone,1,2.99,2.99
1,1,00:09:26,8,57.97,11,Chuckwagon Beans,1,14.99,14.99
1,1,00:09:26,8,57.97,24,Flannel Shirt,1,39.99,39.99
2,2,00:17:14,8,175.94,6,1984,1,7.99,7.99
2,2,00:17:14,8,175.94,10,Action Figure,1,8.99,8.99
2,2,00:17:14,8,175.94,16,Campfire Coffee,1,5.99,5.99
2,2,00:17:14,8,175.94,20,Work Gloves,1,89.99,89.99
2,2,00:17:14,8,175.94,24,Flannel Shirt,1,39.99,39.99
2,2,00:17:14,8,175.94,25,Riding Spurs,1,22.99,22.99
3,3,00:26:06,8,182.92000000000002,3,Refrigerator,1,4.49,4.49
3,3,00:26:06,8,182.92000000000002,5,The Great Gatsby,1,3.49,3.49
3,3,00:26:06,8,182.92000000000002,10,Action Figure,1,8.99,8.99
3,3,00:26:06,8,182.92000000000002,11,Chuckwagon Beans,1,14.99,14.99
3,3,00:26:06,8,182.92000000000002,15,Cornbread Mix,1,12.99,12.99
3,3,00:26:06,8,182.92000000000002,20,Work Gloves,1,89.99,89.99
3,3,00:26:06,8,182.92000000000002,25,Riding Spurs,1,22.99,22.99
3,3,00:26:06,8,182.92000000000002,29,Leather Wallet,1,24.99,24.99
4,4,00:31:30,6,37.98,6,1984,1,7.99,7.99
4,4,00:31:30,6,37.98,22,Cowboy Boots,1,29.99,29.99
5,5,00:39:47,8,179.95000000000002,7,T-shirt,1,6.49,6.49
5,5,00:39:47,8,179.95000000000002,17,Lasso Rope,1,8.49,8.49
5,5,00:39:47,8,179.95000000000002,20,Work Gloves,1,89.99,89.99
5,5,00:39:47,8,179.95000000000002,28,Leather Saddlebag,1,59.99,59.99
5,5,00:39:47,8,179.95000000000002,30,Leather Journal,1,14.99,14.99
6,6,00:46:39,8,59.959999999999994,5,The Great Gatsby,1,3.49,3.49
6,6,00:46:39,8,59.959999999999994,17,Lasso Rope,1,8.49,8.49
6,6,00:46:39,8,59.959999999999994,25,Riding Spurs,1,22.99,22.99
6,6,00:46:39,8,59.959999999999994,29,Leather Wallet,1,24.99,24.99
7,7,00:53:22,6,21.48,7,T-shirt,1,6.49,6.49
7,7,00:53:22,6,21.48,30,Leather Journal,1,14.99,14.99
