transaction_id,customer_id,timestamp,satisfaction,total_spent,sim_date,day_of_week,item_id,item_name,quantity,price_per_unit,item_total
1,1,00:07:32,8,51.459999999999994,2024-01-01,0,1,Smartphone,1,2.99,2.99
1,1,00:07:32,8,51.459999999999994,2024-01-01,0,11,Chuckwagon Beans,1,14.99,14.99
1,1,00:07:32,8,51.459999999999994,2024-01-01,0,17,Lasso Rope,1,8.49,8.49
1,1,00:07:32,8,51.459999999999994,2024-01-01,0,18,Horse Feed Sack,1,24.99,24.99
2,5,00:12:39,8,53.47,2024-01-01,0,12,Campfire Chili,1,19.99,19.99
2,5,00:12:39,8,53.47,2024-01-01,0,17,Lasso Rope,1,8.49,8.49
2,5,00:12:39,8,53.47,2024-01-01,0,18,Horse Feed Sack,1,24.99,24.99
3,8,00:14:52,8,39.97,2024-01-01,0,13,Smoky BBQ Sauce,1,9.99,9.99
3,8,00:14:52,8,39.97,2024-01-01,0,18,Horse Feed Sack,1,24.99,24.99
3,8,00:14:52,8,39.97,2024-01-01,0,21,Cowboy Hat,1,4.99,4.99
4,4,00:19:31,8,8.97,2024-01-01,0,1,Smartphone,3,2.99,8.97
5,6,00:19:56,8,67.96,2024-01-01,0,11,Chuckwagon Beans,1,14.99,14.99
5,6,00:19:56,8,67.96,2024-01-01,0,13,Smoky BBQ Sauce,1,9.99,9.99
5,6,00:19:56,8,67.96,2024-01-01,0,15,Cornbread Mix,1,12.99,12.99
5,6,00:19:56,8,67.96,2024-01-01,0,22,Cowboy Boots,1,29.99,29.99
6,12,00:20:06,8,11.96,2024-01-01,0,1,Smartphone,4,2.99,11.96
7,9,00:21:51,8,8.97,2024-01-01,0,1,Smartphone,3,2.99,8.97
8,2,00:22:02,8,79.44,2024-01-01,0,12,Campfire Chili,1,19.99,19.99
8,2,00:22:02,8,79.44,2024-01-01,0,13,Smoky BBQ Sauce,1,9.99,9.99
8,2,00:22:02,8,79.44,2024-01-01,0,16,Campfire Coffee,1,5.99,5.99
8,2,00:22:02,8,79.44,2024-01-01,0,17,Lasso Rope,1,8.49,8.49
8,2,00:22:02,8,79.44,2024-01-01,0,21,Cowboy Hat,1,4.99,4.99
8,2,00:22:02,8,79.44,2024-01-01,0,22,Cowboy Boots,1,29.99,29.99
9,10,00:32:30,8,57.959999999999994,2024-01-01,0,1,Smartphone,1,2.99,2.99
9,10,00:32:30,8,57.959999999999994,2024-01-01,0,12,Campfire Chili,1,19.99,19.99
