transaction_id,customer_id,timestamp,satisfaction,total_spent,sim_date,day_of_week,item_id,item_name,quantity,price_per_unit,item_total
1,1,00:14:12,8,37.97,2026-03-02,0,15,Cornbread Mix,1,12.99,12.99
1,1,00:14:12,8,37.97,2026-03-02,0,21,Cowboy Hat,1,4.99,4.99
1,1,00:14:12,8,37.97,2026-03-02,0,23,Red Bandana,1,19.99,19.99
2,2,00:27:02,8,144.44,2026-03-02,0,4,Microwave,1,5.99,5.99
2,2,00:27:02,8,144.44,2026-03-02,0,13,Smoky BBQ Sauce,1,9.99,9.99
2,2,00:27:02,8,144.44,2026-03-02,0,16,Campfire Coffee,1,5.99,5.99
2,2,00:27:02,8,144.44,2026-03-02,0,20,Work Gloves,1,89.99,89.99
2,2,00:27:02,8,144.44,2026-03-02,0,27,Bull Rope Rosin,1,7.49,7.49
2,2,00:27:02,8,144.44,2026-03-02,0,29,Leather Wallet,1,24.99,24.99
3,3,00:38:31,8,129.46,2026-03-02,0,3,Refrigerator,1,4.49,4.49
3,3,00:38:31,8,129.46,2026-03-02,0,19,Saddle Oil,1,34.99,34.99
3,3,00:38:31,8,129.46,2026-03-02,0,22,Cowboy Boots,1,29.99,29.99
3,3,00:38:31,8,129.46,2026-03-02,0,28,Leather Saddlebag,1,59.99,59.99
4,4,00:51:48,8,110.44,2026-03-02,0,4,Microwave,1,5.99,5.99
4,4,00:51:48,8,110.44,2026-03-02,0,5,The Great Gatsby,1,3.49,3.49
4,4,00:51:48,8,110.44,2026-03-02,0,10,Action Figure,1,8.99,8.99
4,4,00:51:48,8,110.44,2026-03-02,0,15,Cornbread Mix,1,12.99,12.99
4,4,00:51:48,8,110.44,2026-03-02,0,26,Rodeo Rope,1,18.99,18.99
4,4,00:51:48,8,110.44,2026-03-02,0,28,Leather Saddlebag,1,59.99,59.99
5,5,01:02:52,8,49.46,2026-03-02,0,6,1984,1,7.99,7.99
5,5,01:02:52,8,49.46,2026-03-02,0,7,T-shirt,1,6.49,6.49
5,5,01:02:52,8,49.46,2026-03-02,0,12,Campfire Chili,1,19.99,19.99
5,5,01:02:52,8,49.46,2026-03-02,0,30,Leather Journal,1,14.99,14.99
6,6,01:15:17,8,51.97,2026-03-02,0,1,Smartphone,1,2.99,2.99
6,6,01:15:17,8,51.97,2026-03-02,0,10,Action Figure,1,8.99,8.99
6,6,01:15:17,8,51.97,2026-03-02,0,24,Flannel Shirt,1,39.99,39.99
7,7,01:27:42,8,58.46,2026-03-02,0,3,Refrigerator,1,4.49,4.49
7,7,01:27:42,8,58.46,2026-03-02,0,4,Microwave,1,5.99,5.99
7,7,01:27:42,8,58.46,2026-03-02,0,15,Cornbread Mix,1,12.99,12.99
7,7,01:27:42,8,58.46,2026-03-02,0,19,Saddle Oil,1,34.99,34.99
8,8,01:38:50,6,33.98,2026-03-02,0,10,Action Figure,1,8.99,8.99
8,8,01:38:50,6,33.98,2026-03-02,0,18,Horse Feed Sack,1,24.99,24.99
9,9,01:51:29,8,183.95,2026-03-02,0,10,Action Figure,1,8.99,8.99
9,9,01:51:29,8,183.95,2026-03-02,0,20,Work Gloves,1,89.99,89.99
9,9,01:51:29,8,183.95,2026-03-02,0,23,Red Bandana,1,19.99,19.99
9,9,01:51:29,8,183.95,2026-03-02,0,24,Flannel Shirt,1,39.99,39.99
9,9,01:51:29,8,183.95,2026-03-02,0,29,Leather Wallet,1,24.99,24.99
10,10,02:00:54,6,29.479999999999997,2026-03-02,0,3,Refrigerator,1,4.49,4.49
10,10,02:00:54,6,29.479999999999997,2026-03-02,0,18,Horse Feed Sack,1,24.99,24.99
11,11,02:09:17,6,104.97999999999999,2026-03-02,0,20,Work Gloves,1,89.99,89.99
11,11,02:09:17,6,104.97999999999999,2026-03-02,0,30,Leather Journal,1,14.99,14.99
12,12,02:18:32,8,119.95,2026-03-02,0,2,Laptop,1,3.99,3.99
12,12,02:18:32,8,119.95,2026-03-02,0,6,1984,1,7.99,7.99
12,12,02:18:32,8,119.95,2026-03-02,0,15,Cornbread Mix,1,12.99,12.99
12,12,02:18:32,8,119.95,2026-03-02,0,19,Saddle Oil,1,34.99,34.99
12,12,02:18:32,8,119.95,2026-03-02,0,28,Leather Saddlebag,1,59.99,59.99
13,13,02:26:04,6,54.98,2026-03-02,0,18,Horse Feed Sack,1,24.99,24.99
13,13,02:26:04,6,54.98,2026-03-02,0,22,Cowboy Boots,1,29.99,29.99
14,14,02:36:40,8,94.92,2026-03-02,0,5,The Great Gatsby,1,3.49,3.49
14,14,02:36:40,8,94.92,2026-03-02,0,6,1984,1,7.99,7.99
14,14,02:36:40,8,94.92,2026-03-02,0,7,T-shirt,1,6.49,6.49
14,14,02:36:40,8,94.92,2026-03-02,0,8,Jeans,1,2.49,2.49
14,14,02:36:40,8,94.92,2026-03-02,0,14,Trail Beef Jerky,1,6.99,6.99
14,14,02:36:40,8,94.92,2026-03-02,0,23,Red Bandana,1,19.99,19.99
14,14,02:36:40,8,94.92,2026-03-02,0,24,Flannel Shirt,1,39.99,39.99
14,14,02:36:40,8,94.92,2026-03-02,0,27,Bull Rope Rosin,1,7.49,7.49
