Transaction_ID,Date,customer_type,sku,product_name,category,quantity,unit_price,line_total,tx_total
1,2024-01-01 17:26:02,Tourist,3,Smoky BBQ Sauce,Cowboy_Food,1,4.49,4.49,108.95
1,2024-01-01 17:26:02,Tourist,22,Flannel Shirt,Western_Apparel,1,29.99,29.99,108.95
1,2024-01-01 17:26:02,Tourist,7,Prairie Honey,Cowboy_Food,1,6.49,6.49,108.95
1,2024-01-01 17:26:02,Tourist,28,Leather Saddlebag,Leather_Goods,1,59.99,59.99,108.95
1,2024-01-01 17:26:02,Tourist,6,Campfire Coffee,Cowboy_Food,1,7.99,7.99,108.95
2,2024-01-01 16:30:14,Regular,1,Chuckwagon Beans,Cowboy_Food,1,2.99,2.99,260.4
2,2024-01-01 16:30:14,Regular,6,Campfire Coffee,Cowboy_Food,1,7.99,7.99,260.4
2,2024-01-01 16:30:14,Regular,4,Trail Beef Jerky,Cowboy_Food,1,5.99,5.99,260.4
2,2024-01-01 16:30:14,Regular,20,Cowboy Boots,Western_Apparel,2,89.99,179.98,260.4
2,2024-01-01 16:30:14,Regular,3,Smoky BBQ Sauce,Cowboy_Food,1,4.49,4.49,260.4
2,2024-01-01 16:30:14,Regular,14,Work Gloves,Ranch_Supplies,1,6.99,6.99,260.4
2,2024-01-01 16:30:14,Regular,17,Stock Tank Float,Ranch_Supplies,1,8.49,8.49,260.4
2,2024-01-01 16:30:14,Regular,5,Cornbread Mix,Cowboy_Food,1,3.49,3.49,260.4
2,2024-01-01 16:30:14,Regular,24,Denim Vest,Western_Apparel,1,39.99,39.99,260.4
3,2024-01-01 10:46:49,Regular,14,Work Gloves,Ranch_Supplies,1,6.99,6.99,184.45
3,2024-01-01 10:46:49,Regular,20,Cowboy Boots,Western_Apparel,1,89.99,89.99,184.45
3,2024-01-01 10:46:49,Regular,29,Leather Wallet,Leather_Goods,1,24.99,24.99,184.45
3,2024-01-01 10:46:49,Regular,8,Hardtack Biscuits,Cowboy_Food,1,2.49,2.49,184.45
3,2024-01-01 10:46:49,Regular,28,Leather Saddlebag,Leather_Goods,1,59.99,59.99,184.45
4,2024-01-01 18:31:03,Regular,12,Horse Feed Sack,Ranch_Supplies,1,19.99,19.99,53.47
4,2024-01-01 18:31:03,Regular,29,Leather Wallet,Leather_Goods,1,24.99,24.99,53.47
4,2024-01-01 18:31:03,Regular,17,Stock Tank Float,Ranch_Supplies,1,8.49,8.49,53.47
5,2024-01-01 16:51:51,Bulk,3,Smoky BBQ Sauce,Cowboy_Food,1,4.49,4.49,64.47
5,2024-01-01 16:51:51,Bulk,24,Denim Vest,Western_Apparel,1,39.99,39.99,64.47
5,2024-01-01 16:51:51,Bulk,23,Leather Belt,Western_Apparel,1,19.99,19.99,64.47
6,2024-01-01 16:59:16,Regular,18,Branding Iron,Ranch_Supplies,1,24.99,24.99,39.98
6,2024-01-01 16:59:16,Regular,11,Lasso Rope,Ranch_Supplies,1,14.99,14.99,39.98
7,2024-01-01 11:04:55,Casual,6,Campfire Coffee,Cowboy_Food,1,7.99,7.99,77.97
7,2024-01-01 11:04:55,Casual,22,Flannel Shirt,Western_Apparel,1,29.99,29.99,77.97
7,2024-01-01 11:04:55,Casual,24,Denim Vest,Western_Apparel,1,39.99,39.99,77.97
8,2024-01-01 14:54:17,Casual,4,Trail Beef Jerky,Cowboy_Food,2,5.99,11.98,125.92
8,2024-01-01 14:54:17,Casual,3,Smoky BBQ Sauce,Cowboy_Food,1,4.49,4.49,125.92
8,2024-01-01 14:54:17,Casual,1,Chuckwagon Beans,Cowboy_Food,1,2.99,2.99,125.92
8,2024-01-01 14:54:17,Casual,2,Campfire Chili,Cowboy_Food,2,3.99,7.98,125.92
8,2024-01-01 14:54:17,Casual,17,Stock Tank Float,Ranch_Supplies,1,8.49,8.49,125.92
8,2024-01-01 14:54:17,Casual,20,Cowboy Boots,Western_Apparel,1,89.99,89.99,125.92
9,2024-01-01 13:42:26,Casual,5,Cornbread Mix,Cowboy_Food,1,3.49,3.49,23.96
9,2024-01-01 13:42:26,Casual,6,Campfire Coffee,Cowboy_Food,1,7.99,7.99,23.96
9,2024-01-01 13:42:26,Casual,7,Prairie Honey,Cowboy_Food,1,6.49,6.49,23.96
9,2024-01-01 13:42:26,Casual,16,Hay Bale Twine,Ranch_Supplies,1,5.99,5.99,23.96
10,2024-01-01 17:57:39,Regular,28,Leather Saddlebag,Leather_Goods,1,59.99,59.99,109.95
10,2024-01-01 17:57:39,Regular,3,Smoky BBQ Sauce,Cowboy_Food,1,4.49,4.49,109.95
10,2024-01-01 17:57:39,Regular,25,Riding Spurs,Rodeo_Gear,1,22.99,22.99,109.95
10,2024-01-01 17:57:39,Regular,27,Bull Rope Rosin,Rodeo_Gear,1,7.49,7.49,109.95
10,2024-01-01 17:57:39,Regular,30,Leather Journal,Leather_Goods,1,14.99,14.99,109.95
11,2024-01-01 16:13:07,Bulk,19,Cowboy Hat,Western_Apparel,1,34.99,34.99,95.42
11,2024-01-01 16:13:07,Bulk,7,Prairie Honey,Cowboy_Food,1,6.49,6.49,95.42
11,2024-01-01 16:13:07,Bulk,4,Trail Beef Jerky,Cowboy_Food,1,5.99,5.99,95.42
11,2024-01-01 16:13:07,Bulk,14,Work Gloves,Ranch_Supplies,1,6.99,6.99,95.42
11,2024-01-01 16:13:07,Bulk,11,Lasso Rope,Ranch_Supplies,1,14.99,14.99,95.42
11,2024-01-01 16:13:07,Bulk,6,Campfire Coffee,Cowboy_Food,1,7.99,7.99,95.42
11,2024-01-01 16:13:07,Bulk,10,Smoked Sausage Links,Cowboy_Food,2,8.99,17.98,95.42
12,2024-01-01 17:12:33,Bulk,21,Red Bandana,Western_Apparel,2,4.99,9.98,277.37
12,2024-01-01 17:12:33,Bulk,5,Cornbread Mix,Cowboy_Food,1,3.49,3.49,277.37
