Transaction ID,Date,id,Gender_x,Age_x,Product Category,Quantity,Price per Unit,Total Amount,Age_y,Gender_y,Annual_Income,Total_Spend,Years_as_Customer,Num_of_Purchases,Average_Transaction_Amount,Num_of_Returns,Num_of_Support_Contacts,Satisfaction_Score,Last_Purchase_Days_Ago,Email_Opt_In,Promotion_Response,Target_Churn,_merge
1,11/24/2023,1,Male,34,Beauty,3,50,150,62,Other,45.15,5892.58,5,22,453.8,2,0,3,129,TRUE,Responded,TRUE,both
2,2/27/2023,2,Female,26,Clothing,2,500,1000,65,Male,79.51,9025.47,13,77,22.9,2,2,3,227,FALSE,Responded,FALSE,both
3,1/13/2023,3,Male,50,Electronics,1,30,30,18,Male,29.19,618.83,13,71,50.53,5,2,2,283,FALSE,Responded,TRUE,both
4,5/21/2023,4,Male,37,Clothing,1,500,500,21,Other,79.63,9110.3,3,33,411.83,5,3,5,226,TRUE,Ignored,TRUE,both
5,5/6/2023,5,Male,30,Beauty,2,50,100,21,Other,77.66,5390.88,15,43,101.19,3,0,5,242,FALSE,Unsubscribed,FALSE,both
6,4/25/2023,6,Female,45,Beauty,1,30,30,57,Male,190.43,255.19,19,85,417.78,5,1,4,130,FALSE,Unsubscribed,FALSE,both
7,3/13/2023,7,Male,46,Clothing,2,25,50,27,Male,172.13,3512.55,3,77,316.18,0,3,1,61,TRUE,Unsubscribed,FALSE,both
8,2/22/2023,8,Male,30,Electronics,4,25,100,37,Other,88.9,7270.9,4,87,63.61,3,4,3,224,FALSE,Ignored,FALSE,both
9,12/13/2023,9,Male,63,Electronics,2,300,600,39,Other,24.46,4935.49,1,21,173.8,9,2,4,126,TRUE,Responded,TRUE,both
10,10/7/2023,10,Female,52,Clothing,4,50,200,68,Other,169.59,9803.57,17,34,481.18,6,1,2,171,TRUE,Unsubscribed,FALSE,both
11,2/14/2023,11,Male,23,Clothing,2,50,100,54,Male,138.9,4283.84,15,33,96.55,9,1,2,92,TRUE,Responded,FALSE,both
12,10/30/2023,12,Male,35,Beauty,3,25,75,41,Female,47.43,3333.69,4,10,212.58,0,0,2,213,FALSE,Responded,TRUE,both
13,8/5/2023,13,Male,22,Electronics,3,500,1500,24,Other,199.29,8234.55,1,60,160.58,2,1,5,276,FALSE,Ignored,FALSE,both
14,1/17/2023,14,Male,64,Clothing,4,30,120,42,Female,38.04,5524.28,12,4,259.81,5,4,2,212,FALSE,Ignored,TRUE,both
15,1/16/2023,15,Female,42,Electronics,4,500,2000,42,Female,176.08,6855.03,17,64,222.85,6,0,1,125,FALSE,Ignored,TRUE,both
16,2/17/2023,16,Male,19,Clothing,3,500,1500,30,Male,72.97,8076.45,9,63,466.61,5,0,3,304,FALSE,Unsubscribed,FALSE,both
17,4/22/2023,17,Female,27,Clothing,4,25,100,19,Male,98.36,6747.13,10,9,414.8,7,3,2,274,TRUE,Responded,TRUE,both
18,4/30/2023,18,Female,47,Electronics,2,25,50,56,Female,163.18,4281.83,3,29,294.39,7,0,3,197,TRUE,Unsubscribed,FALSE,both
19,9/16/2023,19,Female,62,Clothing,2,25,50,57,Male,141.95,1335.48,15,14,173.58,7,3,4,4,FALSE,Responded,FALSE,both
20,11/5/2023,20,Male,22,Clothing,3,300,900,41,Other,188.82,5844.46,11,88,378.05,8,4,5,57,TRUE,Unsubscribed,TRUE,both
21,1/14/2023,21,Female,50,Beauty,1,500,500,64,Other,131.81,8984.59,5,72,298.9,1,1,2,323,TRUE,Responded,TRUE,both
22,10/15/2023,22,Male,18,Clothing,2,50,100,42,Female,37.61,4247.04,10,13,89.61,0,4,1,199,FALSE,Responded,FALSE,both
23,4/12/2023,23,Female,35,Clothing,4,30,120,35,Female,179.18,9116.18,14,3,162.9,8,0,2,193,TRUE,Responded,TRUE,both
24,11/29/2023,24,Female,49,Clothing,1,300,300,55,Other,158.45,5084.93,12,78,288.48,2,1,2,323,FALSE,Unsubscribed,TRUE,both
25,12/26/2023,25,Female,64,Beauty,1,50,50,43,Other,148.14,6246.33,9,24,352.98,7,1,4,119,TRUE,Unsubscribed,TRUE,both
26,10/7/2023,26,Female,28,Electronics,2,500,1000,31,Female,29.67,8346.59,6,60,167.05,5,2,1,35,TRUE,Unsubscribed,FALSE,both
27,8/3/2023,27,Female,38,Beauty,2,25,50,26,Other,91.32,5689.51,9,74,456.01,2,4,2,352,TRUE,Unsubscribed,TRUE,both
28,4/23/2023,28,Female,43,Beauty,1,500,500,27,Male,50.14,1000.6,3,80,210.02,8,3,1,317,FALSE,Unsubscribed,FALSE,both
29,8/18/2023,29,Female,42,Electronics,1,30,30,38,Male,167.94,9811.7,13,12,83.09,9,4,5,128,FALSE,Ignored,TRUE,both
30,10/29/2023,30,Female,39,Beauty,3,300,900,69,Female,146.1,2533.91,7,10,114.05,6,4,1,31,FALSE,Unsubscribed,FALSE,both
31,5/23/2023,31,Male,44,Electronics,4,300,1200,34,Male,178.95,7134,17,63,107.41,7,1,4,274,FALSE,Ignored,TRUE,both
32,1/4/2023,32,Male,30,Beauty,3,30,90,69,Female,193.98,5100.62,18,66,124.56,5,4,1,325,TRUE,Responded,TRUE,both
33,3/23/2023,33,Female,50,Electronics,2,50,100,23,Male,159.45,4839.85,4,91,198,1,4,1,193,FALSE,Ignored,TRUE,both
34,12/24/2023,34,Female,51,Clothing,3,50,150,33,Male,198.96,2515.01,5,12,237.82,5,4,5,253,TRUE,Unsubscribed,TRUE,both
35,8/5/2023,35,Female,58,Beauty,3,300,900,65,Female,130.66,7249.29,11,96,275.72,4,2,5,196,FALSE,Responded,TRUE,both
36,6/24/2023,36,Male,52,Beauty,3,300,900,18,Other,26.68,1216.6,18,49,469.63,2,1,3,188,FALSE,Unsubscribed,TRUE,both
37,5/23/2023,37,Female,18,Beauty,3,25,75,36,Female,22.57,9905.49,19,59,289.28,2,3,1,102,FALSE,Responded,TRUE,both
