id,age,gender,annual_income,family_size,total_spent,average_spend,loyalty_rating,num_purchases,num_returns,is_churn,basket_size_multiplier,price_sensitivity,impulsivity
1,34,Male,22.48159173838755,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
2,32,Female,29.749577801851455,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
3,38,Male,21.242281792670283,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
4,47,Female,164.87989293390083,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
5,38,Female,45.83506415694858,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
6,53,Female,50.07350131333227,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
7,44,Male,46.337391994151936,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
8,38,Female,21.074078708572674,5,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
9,26,Male,52.17646089480063,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
10,38,Female,24.424010435429306,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
11,37,Female,40.7048891227877,6,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
12,33,Female,22.584607622804132,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
13,35,Female,18.389758439582316,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
14,43,Male,40.331380971992246,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
15,48,Female,54.92404216336009,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
16,48,Male,96.08875207920349,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
17,54,Female,25.126520958200434,5,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
18,41,Female,42.69048736158071,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
19,33,Male,13.390380824031615,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
20,47,Female,69.82625360989947,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
21,17,Male,33.681223656293824,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
22,49,Female,16.36970729317566,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
23,35,Male,37.989771562838925,1,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
24,28,Female,64.28179809971876,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
25,31,Female,65.1071079375521,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
26,29,Female,16.930207722768706,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
27,32,Male,16.996935665927612,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
28,58,Male,27.076349460326274,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
29,35,Male,45.71607749452554,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
30,44,Female,56.61451164070148,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
31,24,Female,38.763491411106905,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
32,37,Male,56.87057023003558,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
33,28,Female,22.294014465272078,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
34,33,Female,28.532525422812384,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
35,48,Male,62.911945957053824,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
36,33,Female,112.70589887220866,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
37,51,Male,17.953548934480832,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
38,34,Female,17.683025766943626,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
39,35,Female,58.70715504897421,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
40,33,Female,25.25716065375112,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
